date,open,high,low,close,volume,symbol
2025-02-27 18:20:00+00:00,470.5,470.95,470.43,470.82,1228.0,UNH
2025-02-27 18:25:00+00:00,470.73,470.73,470.41,470.455,621.0,UNH
2025-02-27 18:30:00+00:00,470.34,470.5,470.2,470.5,777.0,UNH
2025-02-27 18:35:00+00:00,470.62,470.93,470.11,470.25,1597.0,UNH
2025-02-27 18:40:00+00:00,470.26,470.42,469.49,469.49,939.0,UNH
2025-02-27 18:45:00+00:00,469.43,469.59,469.28,469.48,373.0,UNH
2025-02-27 18:50:00+00:00,469.48,469.71,469.47,469.62,729.0,UNH
2025-02-27 18:55:00+00:00,469.69,469.75,468.96,468.96,808.0,UNH
2025-02-27 19:00:00+00:00,468.72,468.72,468.13,468.13,113.0,UNH
2025-02-27 19:05:00+00:00,467.92,469.09,467.6,469.0,1181.0,UNH
2025-02-27 19:10:00+00:00,469.12,469.31,468.66,468.8,2059.0,UNH
2025-02-27 19:15:00+00:00,468.755,470.03,468.755,469.82,1959.0,UNH
2025-02-27 19:20:00+00:00,469.825,470.44,469.62,469.92,1302.0,UNH
2025-02-27 19:25:00+00:00,469.87,469.87,469.575,469.64,517.0,UNH
2025-02-27 19:30:00+00:00,469.62,469.645,468.37,468.37,1612.0,UNH
2025-02-27 19:35:00+00:00,468.465,468.93,468.07,468.07,2125.0,UNH
2025-02-27 19:40:00+00:00,468.04,468.555,467.95,467.95,1791.0,UNH
2025-02-27 19:45:00+00:00,468.2,468.895,468.055,468.895,1762.0,UNH
2025-02-27 19:50:00+00:00,469.1,469.67,468.97,469.44,2334.0,UNH
2025-02-27 19:55:00+00:00,469.69,470.07,469.35,469.845,2217.0,UNH
2025-02-27 20:00:00+00:00,469.65,470.32,469.59,470.12,2232.0,UNH
2025-02-27 20:05:00+00:00,470.08,470.3,469.43,469.8,2468.0,UNH
2025-02-27 20:10:00+00:00,469.73,470.01,469.13,469.48,1395.0,UNH
2025-02-27 20:15:00+00:00,469.55,470.005,468.84,470.005,1930.0,UNH
2025-02-27 20:20:00+00:00,470.35,471.31,470.35,471.12,811.0,UNH
2025-02-27 20:25:00+00:00,471.24,471.24,469.59,469.59,3178.0,UNH
2025-02-27 20:30:00+00:00,469.62,471.02,469.585,470.28,2385.0,UNH
2025-02-27 20:35:00+00:00,470.29,470.42,469.7,469.7,1643.0,UNH
2025-02-27 20:40:00+00:00,469.86,470.56,469.72,470.24,3241.0,UNH
2025-02-27 20:45:00+00:00,469.99,470.8,469.895,470.23,3454.0,UNH
2025-02-27 20:50:00+00:00,469.97,469.97,468.49,469.41,6641.0,UNH
2025-02-27 20:55:00+00:00,469.52,469.52,468.43,468.76,10760.0,UNH
2025-02-28 14:30:00+00:00,468.4,471.08,467.37,471.035,2607.0,UNH
2025-02-28 14:35:00+00:00,470.67,474.77,470.25,474.01,6331.0,UNH
2025-02-28 14:40:00+00:00,473.73,474.02,471.09,471.49,3841.0,UNH
2025-02-28 14:45:00+00:00,471.495,471.495,468.36,469.44,2975.0,UNH
2025-02-28 14:50:00+00:00,469.66,472.68,469.4,472.67,1643.0,UNH
2025-02-28 14:55:00+00:00,473.08,474.32,472.57,474.32,1132.0,UNH
2025-02-28 15:00:00+00:00,474.16,476.03,473.56,475.29,2805.0,UNH
2025-02-28 15:05:00+00:00,475.14,475.7,474.77,474.82,2502.0,UNH
2025-02-28 15:10:00+00:00,474.85,475.145,474.05,474.05,2459.0,UNH
2025-02-28 15:15:00+00:00,473.7,473.7,472.35,472.675,1858.0,UNH
2025-02-28 15:20:00+00:00,472.82,474.03,472.71,473.06,2372.0,UNH
2025-02-28 15:25:00+00:00,472.885,472.91,471.74,471.99,1944.0,UNH
2025-02-28 15:30:00+00:00,471.85,472.995,471.49,472.76,3171.0,UNH
2025-02-28 15:35:00+00:00,472.69,473.645,472.45,473.15,3271.0,UNH
2025-02-28 15:40:00+00:00,473.265,473.72,473.15,473.66,1344.0,UNH
2025-02-28 15:45:00+00:00,473.55,473.915,472.57,473.01,1254.0,UNH
2025-02-28 15:50:00+00:00,473.05,473.82,472.485,472.86,1289.0,UNH
2025-02-28 15:55:00+00:00,473.08,473.895,473.08,473.545,923.0,UNH
2025-02-28 16:00:00+00:00,473.545,473.58,472.64,472.72,491.0,UNH
2025-02-28 16:05:00+00:00,472.95,473.75,472.95,473.67,2644.0,UNH
2025-02-28 16:10:00+00:00,473.73,474.39,473.73,474.17,1243.0,UNH
2025-02-28 16:15:00+00:00,474.03,474.03,473.06,473.37,2017.0,UNH
2025-02-28 16:20:00+00:00,473.485,473.74,472.905,473.02,3701.0,UNH
2025-02-28 16:25:00+00:00,473.04,473.11,472.36,472.56,1369.0,UNH
2025-02-28 16:30:00+00:00,472.545,473.59,472.285,473.575,1206.0,UNH
2025-02-28 16:35:00+00:00,473.31,474.1,473.21,473.21,979.0,UNH
2025-02-28 16:40:00+00:00,473.35,473.35,472.68,473.03,673.0,UNH
2025-02-28 16:45:00+00:00,472.81,472.81,472.4,472.595,821.0,UNH
2025-02-28 16:50:00+00:00,472.39,472.5,471.91,472.5,1837.0,UNH
2025-02-28 16:55:00+00:00,472.57,472.61,471.85,471.85,875.0,UNH
2025-02-28 17:00:00+00:00,471.975,471.975,471.07,471.245,208.0,UNH
2025-02-28 17:05:00+00:00,471.23,472.23,471.23,472.11,1200.0,UNH
2025-02-28 17:10:00+00:00,472.17,472.88,472.17,472.21,1387.0,UNH
2025-02-28 17:15:00+00:00,472.15,472.15,470.76,470.76,1005.0,UNH
