feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,symbol
0.0,0.0,0.0,5.1758924,5.1334023,0.0,0.0,4.5685782,0.0,9.417213,MMM
0.0,0.0,0.0,6.407381,5.953416,0.0,0.0,3.015461,0.0,8.672199,MMM
0.0,0.0,0.0,6.798977,4.4425116,0.0,0.0,5.6869507,0.0,9.848551,MMM
0.0,0.0,0.0,7.6150928,3.4763825,0.0,0.0,3.320105,0.0,8.340468,MMM
0.0,0.0,0.0,8.797426,4.3873773,0.0,0.0,8.353687,0.0,9.453025,MMM
0.0,0.0,0.0,3.7005122,0.78250754,0.0,0.0,3.2053964,0.0,2.9027226,MMM
0.0,0.0,0.0,0.9767458,0.0,0.0,0.0,4.7384405,0.0,2.9506032,MMM
0.0,0.0,0.0,5.7270713,1.44441,0.0,0.0,0.9972518,0.0,5.395831,MMM
0.0,0.0,0.0,9.200538,4.271971,0.0,0.0,8.121702,0.0,12.2619295,MMM
0.0,0.0,0.0,5.981076,3.7115216,0.0,0.0,3.2985601,0.0,11.293166,MMM
0.0,0.0,0.0,4.9719315,1.9886671,0.0,0.0,2.1052825,0.0,6.4496684,MMM
0.0,0.0,0.0,10.906172,4.4291444,0.0,0.0,8.374825,0.0,13.332805,MMM
0.0,0.0,0.0,6.8852825,6.57587,0.0,0.0,2.9482088,0.0,11.565179,MMM
0.0,0.0,0.0,7.2370114,2.520493,0.0,0.0,0.81510586,0.0,7.1591883,MMM
0.0,0.0,0.0,9.968345,3.1763854,0.0,0.0,6.739204,0.0,12.737095,MMM
0.0,0.0,0.0,4.183416,1.6151383,0.0,0.0,5.995057,0.0,5.915368,MMM
0.0,0.0,0.0,3.8248994,5.049824,0.0,0.0,1.544565,0.0,9.146453,MMM
0.0,0.0,0.0,8.585578,7.9416866,0.0,0.0,5.663431,0.0,15.531069,MMM
0.0,0.0,0.0,5.9356008,5.724991,0.0,0.0,3.20384,0.0,10.845347,MMM
0.0,0.0,0.0,5.977583,2.235769,0.0,0.0,3.0521693,0.0,9.647542,MMM
0.0,0.0,0.0,7.251647,4.717426,0.0,0.0,7.8409247,0.0,6.6802487,MMM
0.0,0.0,0.0,7.163679,8.316193,0.0,0.0,4.594318,0.0,11.792181,MMM
0.0,0.0,0.0,3.668006,1.4325161,0.0,0.0,4.2953463,0.0,3.0830107,MMM
0.0,0.0,0.0,1.8478881,6.768902,0.0,0.0,6.2613716,0.0,7.9282627,MMM
0.0,0.0,0.0,4.2875724,2.657556,0.0,0.0,4.917998,0.0,1.3193066,MMM
0.0,0.0,0.0,7.3057675,2.853522,0.0,0.0,6.2325373,0.0,8.200693,MMM
0.0,0.0,0.0,2.067722,6.6626997,0.0,0.0,3.0245545,0.0,4.1869516,MMM
0.0,0.0,0.0,6.6795545,5.655728,0.0,0.0,3.0539138,0.0,13.367491,MMM
0.0,0.0,0.0,5.2275753,0.48650712,0.0,0.0,3.1784868,0.0,5.453863,MMM
0.0,0.0,0.0,4.972497,3.1868951,0.0,0.0,5.5799055,0.0,10.153948,MMM
0.0,0.0,0.0,8.227429,4.3582683,0.0,0.0,7.615253,0.0,8.501705,MMM
0.0,0.0,0.0,5.0576816,6.6750865,0.0,0.0,3.4154398,0.0,11.392505,MMM
0.0,0.0,0.0,9.223384,3.8577485,0.0,0.0,7.627881,0.0,11.417511,MMM
0.0,0.0,0.0,2.1534665,6.7055025,0.0,0.0,3.8064783,0.0,5.3431454,MMM
0.0,0.0,0.0,0.71441436,5.6947384,0.0,0.0,5.123537,0.0,6.007215,MMM
0.0,0.0,0.0,6.623293,3.0946321,0.0,0.0,6.931751,0.0,6.6292515,MMM
0.0,0.0,0.0,4.097499,4.246975,0.0,0.0,3.8348596,0.0,10.860026,MMM
0.0,0.0,0.0,5.3404393,2.6935916,0.0,0.0,3.8845146,0.0,7.0062256,MMM
0.0,0.0,0.0,0.64454883,5.154785,0.0,0.0,2.1268256,0.0,3.8584545,MMM
0.0,0.0,0.0,6.121629,2.227526,0.0,0.0,3.7759662,0.0,7.6784143,MMM
0.0,0.0,0.0,11.233586,3.9526343,0.0,0.0,7.0997066,0.0,13.748919,MMM
0.0,0.0,0.0,7.477249,3.2300625,0.0,0.0,4.0226126,0.0,11.441539,MMM
0.0,0.0,0.0,3.9494216,1.2696245,0.0,0.0,3.0184078,0.0,0.5882598,MMM
0.0,0.0,0.0,8.047203,1.7867903,0.0,0.0,3.9835508,0.0,9.155307,MMM
0.0,0.0,0.0,7.9212832,1.7404926,0.0,0.0,4.4454646,0.0,8.418368,MMM
0.0,0.0,0.0,6.2287474,2.4965422,0.0,0.0,4.9036956,0.0,8.640292,MMM
0.0,0.0,0.0,8.168449,1.4095792,0.0,0.0,3.47303,0.0,7.7228584,MMM
0.0,0.0,0.0,6.438112,4.3878164,0.0,0.0,7.5863557,0.0,6.6385155,MMM
0.0,0.0,0.0,9.233139,2.3956964,0.0,0.0,4.1340723,0.0,8.128148,MMM
0.0,0.0,0.0,5.899048,3.5660205,0.0,0.0,2.910995,0.0,7.63496,MMM
0.0,0.0,0.0,9.471413,2.478019,0.0,0.0,7.224619,0.0,14.02512,MMM
0.0,0.0,0.0,6.1729136,5.4002748,0.0,0.0,2.4714527,0.0,8.957289,MMM
0.0,0.0,0.0,9.619381,4.647621,0.0,0.0,6.6083055,0.0,9.77498,MMM
0.0,0.0,0.0,9.107401,5.778042,0.0,0.0,5.7171607,0.0,9.071853,MMM
0.0,0.0,0.0,1.0502286,6.456434,0.0,0.0,5.298305,0.0,6.818758,MMM
0.0,0.0,0.0,9.732123,5.605586,0.0,0.0,6.793137,0.0,9.885506,MMM
0.0,0.0,0.0,6.0390167,1.914906,0.0,0.0,4.475626,0.0,4.2788815,MMM
0.0,0.0,0.0,4.243491,1.1962547,0.0,0.0,2.1711996,0.0,6.0640435,MMM
0.0,0.0,0.0,6.294078,6.328343,0.0,0.0,5.327126,0.0,14.165642,MMM
0.0,0.0,0.0,5.7960134,1.995301,0.0,0.0,5.9030147,0.0,7.3899617,MMM
0.0,0.0,0.0,5.615246,5.288125,0.0,0.0,4.4322543,0.0,9.343292,MMM
