feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,symbol
4.0173845,0.0,1.4576323,1.3602668,0.0,5.598816,0.0,0.0,1.1600864,1.7570559,AOS
6.730809,0.0,3.8789718,4.089463,0.0,7.9529557,0.0,0.0,7.649359,6.8996897,AOS
3.4488199,0.0,1.7780246,0.6239854,0.0,4.3597245,0.0,0.0,2.1204884,3.477048,AOS
3.23618,0.0,1.4571236,0.74175406,0.0,2.8905385,0.0,0.0,5.144507,3.3051722,AOS
5.1645145,0.0,1.5797362,1.525267,0.0,5.05836,0.0,0.0,2.8817277,4.1566787,AOS
4.069255,0.0,2.8292227,2.280749,0.0,1.8086215,0.0,0.0,4.4130745,4.0537395,AOS
2.2439983,0.0,4.033492,2.854024,0.0,5.9524426,0.0,0.0,6.9553313,4.597029,AOS
1.0147347,0.0,2.9420242,2.4280581,0.0,1.403526,0.0,0.0,2.4622638,3.6850078,AOS
5.5132046,0.0,3.8183565,2.72041,0.0,7.048791,0.0,0.0,7.141897,3.74919,AOS
7.5446877,0.0,1.8701081,3.7761972,0.0,6.9384546,0.0,0.0,7.938167,6.35747,AOS
1.865007,0.0,3.2893882,3.75073,0.0,5.6751943,0.0,0.0,7.146894,0.32866704,AOS
5.476437,0.0,4.6534715,3.8025787,0.0,4.618862,0.0,0.0,4.510734,4.357835,AOS
4.5436673,0.0,1.4484596,0.45184237,0.0,2.490073,0.0,0.0,3.3615003,4.5177794,AOS
1.8425567,0.0,3.1710258,1.1571513,0.0,4.8157997,0.0,0.0,4.653757,4.228775,AOS
4.9871397,0.0,3.8996336,3.0414407,0.0,5.528706,0.0,0.0,6.8578086,4.121262,AOS
4.331157,0.0,3.6116936,1.8867192,0.0,5.0016394,0.0,0.0,1.2392724,2.8156931,AOS
4.554434,0.0,2.4322546,2.4857156,0.0,5.326732,0.0,0.0,3.272534,4.487431,AOS
1.3942962,0.0,3.8777726,2.48886,0.0,4.3229465,0.0,0.0,5.789918,5.0380917,AOS
4.2019553,0.0,1.5513397,2.3597472,0.0,5.1455355,0.0,0.0,3.440479,2.6201544,AOS
5.205551,0.0,2.470063,3.3763676,0.0,5.1486764,0.0,0.0,1.5888426,3.649693,AOS
4.363539,0.0,3.7761867,2.176995,0.0,4.0941334,0.0,0.0,3.9580016,3.7797236,AOS
4.2028556,0.0,3.2297115,1.7360877,0.0,4.8298445,0.0,0.0,3.264606,2.1954412,AOS
4.6501603,0.0,3.7318373,3.8742366,0.0,3.44119,0.0,0.0,1.9792349,3.749566,AOS
3.963396,0.0,4.163877,3.349637,0.0,4.9315844,0.0,0.0,6.6287704,2.9868817,AOS
5.436575,0.0,3.552637,4.8845263,0.0,6.431666,0.0,0.0,9.753111,6.2048855,AOS
4.7317653,0.0,1.8357527,0.107814394,0.0,3.5613682,0.0,0.0,2.4635184,4.354053,AOS
4.7757907,0.0,2.9433393,1.8555086,0.0,3.6646764,0.0,0.0,2.2459683,4.312781,AOS
4.854335,0.0,1.6254314,0.13263804,0.0,1.9528509,0.0,0.0,0.7392511,3.2159956,AOS
2.0862355,0.0,3.5253792,0.8968098,0.0,4.6295857,0.0,0.0,6.0258965,5.4441876,AOS
5.036321,0.0,1.688616,3.444522,0.0,5.1565485,0.0,0.0,3.1233778,6.1372375,AOS
0.0,0.0,1.0209459,1.0309396,0.0,1.3092083,0.0,0.0,0.0,2.982563,AOS
4.287472,0.0,1.7473544,2.3890884,0.0,5.618412,0.0,0.0,8.428264,4.7676797,AOS
6.3622956,0.0,2.5278182,4.23792,0.0,3.4119806,0.0,0.0,5.090936,5.8871174,AOS
8.451438,0.0,1.2510879,1.756142,0.0,1.1372774,0.0,0.0,1.7650623,1.5435671,AOS
5.220374,0.0,3.7105079,3.823002,0.0,6.2051783,0.0,0.0,4.4465313,3.35927,AOS
2.3312337,0.0,3.917489,3.0763562,0.0,4.710325,0.0,0.0,2.7806454,3.2443643,AOS
0.90060854,0.0,3.0677226,1.9586805,0.0,0.6715231,0.0,0.0,2.6116729,4.027505,AOS
2.5567558,0.0,0.0,2.648833,0.0,1.4102384,0.0,0.0,2.5051792,4.9330583,AOS
2.6147344,0.0,2.871746,1.8426656,0.0,6.0508337,0.0,0.0,6.1068087,5.721275,AOS
3.831729,0.0,2.3251445,2.7048485,0.0,6.8798814,0.0,0.0,5.888592,6.3834805,AOS
2.108273,0.0,2.9058254,4.336769,0.0,5.3062997,0.0,0.0,5.373503,3.9618492,AOS
4.8714147,0.0,4.544471,3.2602158,0.0,4.5554266,0.0,0.0,1.8577356,3.8582208,AOS
7.6313195,0.0,2.808194,4.1929045,0.0,7.787322,0.0,0.0,8.439155,4.6747084,AOS
8.030114,0.0,3.3954656,0.7583934,0.0,2.3000977,0.0,0.0,2.7524667,2.1092381,AOS
8.25272,0.0,3.1389477,3.3658288,0.0,6.0751667,0.0,0.0,3.7560868,5.5244803,AOS
4.618795,0.0,3.4551945,3.197084,0.0,7.0880084,0.0,0.0,5.8402715,3.9547052,AOS
3.8954165,0.0,4.156433,2.7434278,0.0,3.2009869,0.0,0.0,1.1402545,2.2899232,AOS
5.364462,0.0,2.2968478,4.4374733,0.0,2.1903555,0.0,0.0,1.6233628,3.217423,AOS
0.0,0.0,2.2469268,2.4070904,0.0,2.5145154,0.0,0.0,1.6196406,2.7653396,AOS
3.3831103,0.0,1.747146,3.2989671,0.0,5.6323814,0.0,0.0,7.2815614,6.450365,AOS
5.15045,0.0,3.155413,4.0350494,0.0,6.1496463,0.0,0.0,6.7341676,2.7942457,AOS
3.1472065,0.0,3.549006,1.7328192,0.0,4.5896454,0.0,0.0,2.1022458,3.6368327,AOS
4.776111,0.0,3.0329936,1.9308174,0.0,6.2216763,0.0,0.0,2.5498424,3.3841069,AOS
9.420703,0.0,2.7654948,3.3133564,0.0,1.7945918,0.0,0.0,3.093509,3.0742378,AOS
3.1100843,0.0,3.6216388,3.7073905,0.0,5.9293013,0.0,0.0,5.741588,4.5713367,AOS
6.2192826,0.0,0.73750085,2.5081146,0.0,5.7891254,0.0,0.0,4.077094,2.7392874,AOS
4.5809283,0.0,4.585114,4.1322813,0.0,7.3091106,0.0,0.0,6.707791,3.6752117,AOS
2.5196683,0.0,0.8966158,1.0679444,0.0,4.9710417,0.0,0.0,1.8581729,3.801964,AOS
3.6675565,0.0,3.3904016,5.688987,0.0,6.9414935,0.0,0.0,8.233865,5.8307524,AOS
